Name	Category	Effect
Bitter Herba Mystica icon Bitter Herba Mystica		A legendary condiment with a deeply bitter taste. It’s said to dramatically bolster a body’s immune defenses, though that hasn’t been proven.
Black Apricorn icon Black Apricorn	General items	A black Apricorn It has an indescribable scent.
Black Augurite icon Black Augurite	General items	A glassy black stone that produces a sharp cutting edge when split. It’s loved by a certain Pokémon.
Black Belt icon Black Belt	Hold items	Increases the power of Fighting-type moves.
Black Flute icon Black Flute	General items	A toy flute made from black glass. A maniac will buy it for a high price.
Black Glasses icon Black Glasses	Hold items	Increases the power of Dark-type moves.
Black Sludge icon Black Sludge	Hold items	A held item that gradually restores the HP of Poison-type Pokémon. It inflicts damage on all other types.
Black Tumblestone icon Black Tumblestone	General items
Blank Plate icon Blank Plate	Hold items
Blastoisinite icon Blastoisinite	Hold items	Enables Blastoise to Mega Evolve during battle.
Blazikenite icon Blazikenite	Hold items	Enables Blaziken to Mega Evolve during battle.
Blue Apricorn icon Blue Apricorn	General items	A blue Apricorn. It smells a bit like grass.
Blue Bottle icon Blue Bottle		A go-to bottle widely used for drinks at picnics. Its simple design and portability make it popular among all sorts of people.
Blue Cup icon Blue Cup		A cup sold with the Blue Bottle. The two don’t stack, so they’re tough to pack—but they look good, so they’re popular with those who like to post picnic photos.
Blue Dish icon Blue Dish		A dish for picnics. Comes in plenty of colors to choose from based on the food or the mood. The blue variety is a consistent strong seller.
Blue Flute icon Blue Flute	General items	A toy flute made from blue glass. A maniac will buy it for a high price.
Blue Poké Ball Pick icon Blue Poké Ball Pick		A sandwich pick with a simple blue Poké Ball design. Often used by Trainers who picked a Water-type Pokémon for their first partner.
Blue Scarf icon Blue Scarf	General items	Raises holder's Beauty aspect in a Contest.
Blue Shard icon Blue Shard	General items	A small blue shard. It appears to be from some sort of implement made long ago.
Blue Tablecloth icon Blue Tablecloth		A simple blue tablecloth. It’s smooth and pleasant to the touch, and dishes can be placed on it with hardly a sound.
Blue-Flag Pick icon Blue-Flag Pick		This pick flies a blue flag that lends an air of adventure. The flag itself is made of card stock, so it’ll fly proudly even with no wind.
Blue-Sky Flower Pick icon Blue-Sky Flower Pick		A flower pick designed to evoke a blue sky. It’s part of a line of “sky-flower” picks. Using a few is guaranteed to boost that special picnic spirit.
Bluk Berry icon Bluk Berry	Berries	A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
Blunder Policy icon Blunder Policy	Hold items	Raises Speed sharply if its attack misses.
Bob's Food Tin icon Bob's Food Tin	General items	One of the many ingredients that can be used for cooking at your camp. The tinned food that Bob sells is curiously popular in Galar.
Boiled Egg icon Boiled Egg	General items	One of the many ingredients that can be used for cooking at your camp. Even just one boiled egg can really enhance a dish.
Bold Mint icon Bold Mint	Battle items	Changes the Pokémon's stats to match the Bold nature.
Bombirdier Feather icon Bombirdier Feather	General items	Material obtained after defeating/catching Bombirdier, used in TM crafting.
Bonsly Tears icon Bonsly Tears	General items	Material obtained after defeating/catching Bonsly, used in TM crafting.
Booster Energy icon Booster Energy		An item to be held by Pokémon with certain Abilities. The energy that fills this capsule boosts the strength of the Pokémon.
Bottle Cap icon Bottle Cap	General items	Maximizes one IV stat in Hyper Training.
Bounsweet Sweat icon Bounsweet Sweat	General items	Material obtained after defeating/catching Bounsweet, used in TM crafting.
Bramblin Twig icon Bramblin Twig	General items	Material obtained after defeating/catching Bramblin, used in TM crafting.
Brave Mint icon Brave Mint	Battle items	Changes the Pokémon's stats to match the Brave nature.
Bread icon Bread	General items	One of the many ingredients that can be used for cooking at your camp. An indispensable tool for mopping up that extra curry left on your plate.
Bright Powder icon Bright Powder	Hold items	Lowers the opponent's accuracy.
Brittle Bones icon Brittle Bones	General items	One of the many ingredients that can be used for cooking at your camp. The taste boiled off from the bones is sure to give a dish a light umami taste.
Bronze Bottle icon Bronze Bottle		A popular option among hikers. It’s made with titanium, so it doesn’t rust even if it’s used to hold drinks with high sodium content.
Bronze Cup icon Bronze Cup		A popular option among hikers. It’s made with titanium, so it doesn’t rust even if it’s used to hold drinks with high sodium content.
Bronzor Fragment icon Bronzor Fragment	General items	Material obtained after defeating/catching Bronzor, used in TM crafting.
Bruxish Tooth icon Bruxish Tooth	General items	Material obtained after defeating/catching Bruxish, used in TM crafting.
Bug Gem icon Bug Gem	Hold items	Increases the power of a Bug-type move only once.
Bug Memory icon Bug Memory	Hold items	Changes Silvally and its move Multi-Attack to Bug type.
Bug Tera Shard icon Bug Tera Shard		Changes a Pokémon's Tera Type to Bug.
Buginium Z icon Buginium Z	Hold items	Allows the use of Savage Spin-Out, the Bug type Z-Move.
Bugwort icon Bugwort	General items
Buizel Fur icon Buizel Fur	General items	Material obtained after defeating/catching Buizel, used in TM crafting.
Burn Drive icon Burn Drive	Hold items	Changes Techno Blast to a Fire-type move when held by Genesect.
Burn Heal icon Burn Heal	Medicine	Cures a Pokémon of a burn.
Butter icon Butter		A condiment that unites salty and sweet and also packs a richness that makes bread a delight to eat. The finest butter products are made of 100 percent Moomoo Milk.
Cacnea Needle icon Cacnea Needle	General items	Material obtained after defeating/catching Cacnea, used in TM crafting.
Cake-Lure Base icon Cake-Lure Base	General items
Calcium icon Calcium	Medicine	Increases Special Attack EVs by 10.
Calm Mint icon Calm Mint	Battle items	Changes the Pokémon's stats to match the Calm nature.
Cameruptite icon Cameruptite	Hold items	Enables Camerupt to Mega Evolve during battle.
Candy Truffle icon Candy Truffle	General items
Capsakid Seed icon Capsakid Seed	General items	Material obtained after defeating/catching Capsakid, used in TM crafting.
Carbos icon Carbos	Medicine	Increases Speed EVs by 10.
Careful Mint icon Careful Mint	Battle items	Changes the Pokémon's stats to match the Careful nature.
Carrot Seeds icon Carrot Seeds	General items	Seeds to plant in a field. The kind of carrot you’ll get is determined by which field you plant the seeds in.
Casteliacone icon Casteliacone	Medicine	Heals all major status conditions.
Caster Fern icon Caster Fern	General items
Cell Battery icon Cell Battery	Hold items	A consumable battery. If the holder is hit by an Electric-type move, its Attack will rise.
Cetoddle Grease icon Cetoddle Grease	General items	Material obtained after defeating/catching Cetoddle, used in TM crafting.
Chalky Stone icon Chalky Stone	General items	A small whitish stone picked up at the edge of the road.
Charcadet Soot icon Charcadet Soot	General items	Material obtained after defeating/catching Charcadet, used in TM crafting.
Charcoal icon Charcoal	Hold items	Increases the power of Fire-type moves.
Charizardite X icon Charizardite X	Hold items	Enables Charizard to Mega Evolve during battle.
Charizardite Y icon Charizardite Y	Hold items	Enables Charizard to Mega Evolve during battle.
Charti Berry icon Charti Berry	Berries	Weakens a supereffective Rock-type attack against the holding Pokémon.
Cheese icon Cheese		A very salty ingredient. This thinly sliced cheese is perfect for adding to a sandwich.
Cheri Berry icon Cheri Berry	Berries	If held by a Pokémon, it recovers from paralysis.
Cherish Ball icon Cherish Ball	Pokeballs	Rre Poké Ball used for event Pokémon.
Cherry Tomatoes icon Cherry Tomatoes		A very tart ingredient. Some varieties are also very sweet, and these are prized above all others by the people of Paldea.
Chesto Berry icon Chesto Berry	Berries	If held by a Pokémon, it recovers from sleep.
Chewtle Claw icon Chewtle Claw	General items	Material obtained after defeating/catching Chewtle, used in TM crafting.
Chilan Berry icon Chilan Berry	Berries	Weakens a Normal-type attack against the Pokémon holding this berry.
Chili Sauce icon Chili Sauce		A condiment with a very spicy kick. It’s thanks to Scovillain that this sauce gets its signature mouth-tingling burn.
Chill Drive icon Chill Drive	Hold items	Changes Techno Blast to an Ice-type move when held by Genesect.
Chipped Pot icon Chipped Pot	Hold items	Evolves Sinistea into Polteageist.
Choice Band icon Choice Band	Hold items	Raises Attack, but only one move can be used.
Choice Dumpling icon Choice Dumpling	General items
Choice Scarf icon Choice Scarf	Hold items	Raises Speed, but only one move can be used.
Choice Specs icon Choice Specs	Hold items	Raises Special Attack, but only one move can be used.
Chople Berry icon Chople Berry	Berries	Weakens a supereffective Fighting-type attack against the holding Pokémon.
Chorizo icon Chorizo		A very salty and spicy ingredient. This type of sausage has particularly robust salty flavor, and the spicier varieties are extra popular.
Clauncher Claw icon Clauncher Claw	General items	Material obtained after defeating/catching Clauncher, used in TM crafting.
Claw Fossil icon Claw Fossil	General items	A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a claw.
Cleanse Tag icon Cleanse Tag	Hold items	An item to be held by a Pokémon. It helps keep wild Pokémon away if the holder is the first one in the party.
Clear Amulet icon Clear Amulet		An item to be held by a Pokémon. This clear, sparkling amulet protects the holder from having its stats lowered by moves used against it or by other Pokémon’s Abilities.
Clever Feather icon Clever Feather	Medicine	Increases Special Defense EVs by 1.
Clever Mochi icon Clever Mochi	Medicine	Increases Special Defense EVs.
Clover Sweet icon Clover Sweet	Hold items	Evolves Milcery into Clover Flavor Alcremie.
Coba Berry icon Coba Berry	Berries	Weakens a supereffective Flying-type attack against the holding Pokémon.
Coconut Milk icon Coconut Milk	General items	One of the many ingredients that can be used for cooking at your camp. The refined sweetness of this coconut milk makes it quite popular.
Colbur Berry icon Colbur Berry	Berries	Weakens a supereffective Dark-type attack against the holding Pokémon.
Combee Honey icon Combee Honey	General items	Material obtained after defeating/catching Combee, used in TM crafting.
Comet Shard icon Comet Shard	General items	A shard which fell to the ground when a comet approached. A maniac will buy it for a high price.
Cornn Berry icon Cornn Berry	Berries	A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
Courage Candy icon Courage Candy	Medicine	Increases a Pokémon's Special Defense stat by 1.
Courage Candy L icon Courage Candy L	Medicine	Increases a Pokémon's Special Defense stat.
Courage Candy XL icon Courage Candy XL	Medicine	Increases a Pokémon's Special Defense stat.
Cover Fossil icon Cover Fossil	General items	A fossil of an ancient Pokémon that lived in the sea in ancient times. It appears to be part of its back.
Covert Cloak icon Covert Cloak	Hold items	Conceals the holder, protecting it from the additional effects of moves.
Crabrawler Shell icon Crabrawler Shell	General items	Material obtained after defeating/catching Crabrawler, used in TM crafting.
Cracked Pot icon Cracked Pot	Hold items	Evolves Sinistea into Polteageist.
Crafting Kit icon Crafting Kit	General items
Cream Cheese icon Cream Cheese		A condiment offering very sweet and very tart flavor. It goes well with more ingredients than you’d expect, making it a convenient go-to.
Croagunk Poison icon Croagunk Poison	General items	Material obtained after defeating/catching Croagunk, used in TM crafting.
Crunchy Salt icon Crunchy Salt	General items
Cryogonal Ice icon Cryogonal Ice	General items	Material obtained after defeating/catching Cryogonal, used in TM crafting.
Cubchoo Fur icon Cubchoo Fur	General items	Material obtained after defeating/catching Cubchoo, used in TM crafting.
Cucumber icon Cucumber		A tart and bitter ingredient. Using it together with rich-tasting ingredients in a sandwich will really make the most of a cucumber’s fresh-veggie aroma.
Cufant Tarnish icon Cufant Tarnish	General items	Material obtained after defeating/catching Cufant, used in TM crafting.
Curry Powder icon Curry Powder		A very spicy condiment. Just watch out—use too much of this potent seasoning, and it’ll cancel out the other flavors.
Custap Berry icon Custap Berry	Berries	Holder can move first when HP is low.
Cyber Ball icon Cyber Ball		A ball themed after hardcore gaming PCs. It may not light up like its inspiration, but it still stands out.
Cyclizar Scales icon Cyclizar Scales	General items	Material obtained after defeating/catching Cyclizar, used in TM crafting.
Damp Mulch icon Damp Mulch	General items	A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.
Damp Rock icon Damp Rock	Hold items	A Pokémon held item that extends the duration of the move Rain Dance used by the holder.
Dark Gem icon Dark Gem	Hold items	Increases the power of a Dark-type move only once.
Dark Memory icon Dark Memory	Hold items	Changes Silvally and its move Multi-Attack to Dark type.
Dark Tera Shard icon Dark Tera Shard		Changes a Pokémon's Tera Type to Dark.
Darkinium Z icon Darkinium Z	Hold items	Allows the use of Black Hole Eclipse, the Dark type Z-Move.
Dawn Stone icon Dawn Stone	General items	Evolves certain species of Pokémon.
Dazzling Honey icon Dazzling Honey	General items
Decidium Z icon Decidium Z	Hold items	Allows Decidueye to upgrade Spirit Shackle to a Z-Move, Sinister Arrow Raid.
Dedenne Fur icon Dedenne Fur	General items	Material obtained after defeating/catching Dedenne, used in TM crafting.
Deep Sea Scale icon Deep Sea Scale	Hold items	Increases Special Defense when held by Clamperl. Evolves Clamperl when traded holding the item.
Deep Sea Tooth icon Deep Sea Tooth	Hold items	Increases Special Attack when held by Clamperl. Evolves Clamperl when traded holding the item.
Deerling Hair icon Deerling Hair	General items	Material obtained after defeating/catching Deerling, used in TM crafting.
Deino Scales icon Deino Scales	General items	Material obtained after defeating/catching Deino, used in TM crafting.
Delibird Parcel icon Delibird Parcel	General items	Material obtained after defeating/catching Delibird, used in TM crafting.
Destiny Knot icon Destiny Knot	Hold items	A long, thin, bright-red string to be held by a Pokémon. If the holder becomes infatuated, the foe does too.
Diamond Bottle icon Diamond Bottle		A diamond-patterned bottle that’s small, light, and even comes with a cup. The detachable strap makes it handy for walking around with.
Diamond Pattern Cup icon Diamond Pattern Cup		A cup that’s as good for using at home as on a picnic. It’s light, sturdy, and stacks well, so it’s a cinch to pack up and carry around.
Diamond Tablecloth icon Diamond Tablecloth		A tablecloth with a fashionable diamond pattern. It’s great at repelling water and mold, and stains and smudges wipe right off.
Diancite icon Diancite	Hold items	Enables Diancie to Mega Evolve during battle.
Digger Drill icon Digger Drill		A single-use drill to bore a hole in the wall for your Secret Base.
Diglett Dirt icon Diglett Dirt	General items	Material obtained after defeating/catching Diglett, used in TM crafting.
Dire Hit icon Dire Hit	Battle items	Raises critical-hit ratio of a Pokémon in battle.
Dire Hit 2 icon Dire Hit 2	Battle items	Raises a Pokémon's critical-hit ratio in battle.
Dire Hit 3 icon Dire Hit 3	Battle items	Greatly raises a Pokémon's critical-hit ratio in battle.
Direshroom icon Direshroom	General items
Discount Coupon icon Discount Coupon	General items	This special coupon allows you to buy items at a discount when you are shopping at a boutique.
Discovery Slate icon Discovery Slate		A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Discovery Room at Ramanas Park.
Distortion Slate icon Distortion Slate		A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Distortion Room at Ramanas Park.
Ditto Goo icon Ditto Goo	General items	Material obtained after defeating/catching Ditto, used in TM crafting.
Dive Ball icon Dive Ball	Pokeballs	Catches Pokémon that live in water with 3.5x the rate of a standard Poké Ball.
DNA Splicers icon DNA Splicers	General items	A splicer that fuses Kyurem and a certain Pokémon. They are said to have been one in the beginning.
Dome Fossil icon Dome Fossil	General items	A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a shell.
Dondozo Whisker icon Dondozo Whisker	General items	Material obtained after defeating/catching Dondozo, used in TM crafting.
Doppel Bonnets icon Doppel Bonnets	General items
Douse Drive icon Douse Drive	Hold items	Changes Techno Blast to a Water-type move when held by Genesect.
Draco Plate icon Draco Plate	Hold items	Increases power of Dragon-type moves. Changes Arceus' type to Dragon.
Dragon Fang icon Dragon Fang	Hold items	Increases the power of Dragon-type moves.
Dragon Gem icon Dragon Gem	Hold items	Increases the power of a Dragon-type move only once.
Dragon Memory icon Dragon Memory	Hold items	Changes Silvally and its move Multi-Attack to Dragon type.
Dragon Scale icon Dragon Scale	General items	Evolves Seadra when traded holding the item.
Dragon Tera Shard icon Dragon Tera Shard		Changes a Pokémon's Tera Type to .
Dragonium Z icon Dragonium Z	Hold items	Allows the use of Devastating Drake, the Dragon type Z-Move.
Dratini Scales icon Dratini Scales	General items	Material obtained after defeating/catching Dratini, used in TM crafting.
Dread Plate icon Dread Plate	Hold items	Increases power of Dark-type moves. Changes Arceus' type to Dark.
Dream Ball icon Dream Ball	Pokeballs	A special Poké Ball that appears out of nowhere in a bag at the Entree Forest. It can catch any Pokémon.
Dreepy Powder icon Dreepy Powder	General items	Material obtained after defeating/catching Dreepy, used in TM crafting.
Drifloon Gas icon Drifloon Gas	General items	Material obtained after defeating/catching Drifloon, used in TM crafting.
Dropped Item icon Dropped Item	Hold items	The Xtransceiver found at the Nimbasa City amusement park. It seems it belongs to a boy.
Drowzee Fur icon Drowzee Fur	General items	Material obtained after defeating/catching Drowzee, used in TM crafting.
Dubious Disc icon Dubious Disc	General items	Evolves Porygon2 when traded holding the item.
Dunsparce Scales icon Dunsparce Scales	General items	Material obtained after defeating/catching Dunsparce, used in TM crafting.
Durin Berry icon Durin Berry	Berries	A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
Dusk Ball icon Dusk Ball	Pokeballs	Catches Pokémon at night or in caves with 3x the rate of a standard Poké Ball.
Dusk Stone icon Dusk Stone	General items	Evolves certain species of Pokémon.
Dynamax Candy icon Dynamax Candy	Medicine	Raises Dynamax Level.
Dynite Ore icon Dynite Ore	General items	Mysterious ore that can be obtained in the Max Lair. Something good will happen if you give it to a collector in the Crown Tundra.
Earth Plate icon Earth Plate	Hold items	Increases power of Ground-type moves. Changes Arceus' type to Ground.
Eevee Cup icon Eevee Cup		A cup for big-time Pokémon fans. Kids will happily drink out of it, making it a boon to parents.
Eevee Fur icon Eevee Fur	General items	Material obtained after defeating/catching Eevee, used in TM crafting.
Eevium Z icon Eevium Z	Hold items	Allows Eevee to upgrade Last Resort to a Z-Move, Extreme Evoboost.
Egg icon Egg		An ingredient with a touch of saltiness. It’s full of nutrients and can be enjoyed with all sorts of seasonings.
Eiscue Down icon Eiscue Down	General items	Material obtained after defeating/catching Eiscue, used in TM crafting.
Eject Button icon Eject Button	Hold items	If the holder is hit by an attack, it will switch with another Pokémon in your party.
Eject Pack icon Eject Pack	Hold items	The Pokémon switches out if its stats are lowered.
Electirizer icon Electirizer	General items	Evolves Electabuzz when traded holding the item.
Electric Gem icon Electric Gem	Hold items	Increases the power of an Electric-type move only once.
Electric Memory icon Electric Memory	Hold items	Changes Silvally and its move Multi-Attack to Electric type.
Electric Seed icon Electric Seed	Hold items	An item to be held by a Pokémon. It boosts Defense on Electric Terrain. It can only be used once.
Electric Tera Shard icon Electric Tera Shard		Changes a Pokémon's Tera Type to Electric.
Electrium Z icon Electrium Z	Hold items	Allows the use of Gigavolt Havoc, the Electric type Z-Move.
Elevator Key icon Elevator Key	Hold items	A card key that activates the elevator in Lysandre Labs. It is emblazoned with Team Flare's logo.
Elixir icon Elixir	Medicine	Restores 10 PP to all moves of a Pokémon.
Energy Powder icon Energy Powder	Medicine	Restores 60 HP but lowers Friendship.
Energy Root icon Energy Root	Medicine	Restores 120 HP but lowers Friendship.
Enigma Berry icon Enigma Berry	Berries	If held by a Pokémon, it restores its HP if it is hit by any supereffective attack.
Escape Rope icon Escape Rope	General items	A long, durable rope. Use it to escape instantly from a cave or a dungeon.
Ether icon Ether	Medicine	Restores 10 PP to one move of a Pokémon.
Everstone icon Everstone	Hold items	An item to be held by a Pokémon. The Pokémon holding this peculiar stone is prevented from evolving.
Eviolite icon Eviolite	Hold items	A mysterious evolutionary lump. When held, it raises the Defense and Sp. Def of a Pokémon that can still evolve.
Exercise Ball icon Exercise Ball		A big ball designed for exercising. It can work as a seat if you get tired, too.
Exp. Candy L icon Exp. Candy L	Medicine	Increases the Pokémon's Exp points by 10,000.
Exp. Candy M icon Exp. Candy M	Medicine	Increases the Pokémon's Exp points by 3,000.
Exp. Candy S icon Exp. Candy S	Medicine	Increases the Pokémon's Exp points by 800.
Exp. Candy XL icon Exp. Candy XL	Medicine	Increases the Pokémon's Exp. Points by 30,000.
Exp. Candy XS icon Exp. Candy XS	Medicine	Increases the Pokémon's Exp points by 100.
Exp. Share icon Exp. Share	Hold items	An item to be held by a Pokémon. The holder gets a share of a battle's Exp. Points without battling.
Expert Belt icon Expert Belt	Hold items	Increases the power of super-effective moves.
Fairium Z icon Fairium Z	Hold items	Allows the use of Twinkle Tackle, the Fairy type Z-Move.
Fairy Gem icon Fairy Gem	General items	Increases the power of a Fairy-type move only once.
Fairy Memory icon Fairy Memory	Hold items	Changes Silvally and its move Multi-Attack to Fairy type.
Fairy Tera Shard icon Fairy Tera Shard		Changes a Pokémon's Tera Type to Fairy.
Falinks Sweat icon Falinks Sweat	General items	Material obtained after defeating/catching Falinks, used in TM crafting.
Fancy Apple icon Fancy Apple	General items	One of the many ingredients that can be used for cooking at your camp. An apple chosen above others. It has spectacular form and a brilliant sheen.
Fast Ball icon Fast Ball	Pokeballs	A Poké Ball that makes it easier to catch Pokémon which are quick to run away.
Feather Ball icon Feather Ball	Pokeballs
Festival Ticket icon Festival Ticket	General items	A ticket that allows you to host a mission in Festival Plaza.
Fidough Fur icon Fidough Fur	General items	Material obtained after defeating/catching Fidough, used in TM crafting.
Fighting Gem icon Fighting Gem	Hold items	Increases the power of a Fighting-type move only once.
Fighting Memory icon Fighting Memory	Hold items	Changes Silvally and its move Multi-Attack to Fighting type.
Fighting Tera Shard icon Fighting Tera Shard		Changes a Pokémon's Tera Type to Fighting.
Fightinium Z icon Fightinium Z	Hold items	Allows the use of All-Out Pummeling, the Fighting type Z-Move.
